project,bugs,version,MAP_buglocator,MRR_buglocator,HIT1_buglocator,HIT5_buglocator,HIT10_buglocator,MAP_bluir,MRR_bluir,HIT1_bluir,HIT5_bluir,HIT10_bluir,MAP_brtracer,MRR_brtracer,HIT1_brtracer,HIT5_brtracer,HIT10_brtracer,MAP_amalgam,MRR_amalgam,HIT1_amalgam,HIT5_amalgam,HIT10_amalgam,MAP_blia,MRR_blia,HIT1_blia,HIT5_blia,HIT10_blia,MAP_locus,MRR_locus,HIT1_locus,HIT5_locus,HIT10_locus,MAP_blizzard,MRR_blizzard,HIT1_blizzard,HIT5_blizzard,HIT10_blizzard
smartshark_commons-dbcp,65.0,11,0.36294561485888305,0.4484179214894502,0.3384615384615385,0.6,0.6307692307692307,0.26541029174748504,0.27641025641025646,0.2153846153846154,0.36923076923076925,0.38461538461538464,0.4079080336426254,0.49450427350427356,0.4,0.6153846153846154,0.6307692307692307,0.05593326700012951,0.07110845949958941,0.03076923076923077,0.06153846153846154,0.18461538461538463,0.4627655677655677,0.5024358974358974,0.4461538461538462,0.5846153846153846,0.6153846153846154,0.21046153986290975,0.2860954414534977,0.2,0.36923076923076925,0.4307692307692308,0.3724202186702186,0.37352258852258846,0.0,0.8923076923076924,1.0
smartshark_commons-digester,6.0,14,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5138888888888888,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6388888888888888,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.1438938549209024,0.2010376878023937,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3531746031746031,0.47222222222222215,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.027777777777777776,0.027777777777777776,0.0,0.0,0.16666666666666666,0.46515151515151515,0.45959595959595956,0.0,0.8333333333333334,1.0
smartshark_commons-io,45.0,11,0.8049985131126816,0.8905982905982907,0.8222222222222222,0.9777777777777777,0.9777777777777777,0.6254717813051146,0.6487830687830687,0.6,0.7111111111111111,0.7111111111111111,0.8102354384298829,0.9407407407407408,0.8888888888888888,1.0,1.0,0.25185620289560157,0.26829202450863543,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.8590357983822036,0.9469135802469136,0.9111111111111111,0.9777777777777777,1.0,0.2516593682279957,0.2774094823114431,0.17777777777777778,0.37777777777777777,0.4222222222222222,0.7246320346320344,0.7061471861471861,0.0,1.4666666666666666,1.5555555555555556
smartshark_commons-jcs,54.0,6,0.30388772752399335,0.3975854781335007,0.3333333333333333,0.46296296296296297,0.5,0.19835188581438498,0.20604056437389773,0.16666666666666666,0.2777777777777778,0.2962962962962963,0.3091933403485855,0.4054452505197065,0.3333333333333333,0.5,0.5185185185185185,0.0967001532235736,0.13694264064197303,0.07407407407407407,0.18518518518518517,0.2222222222222222,0.36296877899375907,0.434517325448698,0.4074074074074074,0.46296296296296297,0.5,0.16906262478461204,0.20173926880126097,0.14814814814814814,0.2777777777777778,0.2777777777777778,0.2412677368927369,0.2443121693121693,0.0,0.5370370370370371,0.5740740740740741
smartshark_commons-jexl,45.0,6,0.25485743941519184,0.40558076872517873,0.3333333333333333,0.5111111111111111,0.5555555555555556,0.30931397971879837,0.2659044551798175,0.17777777777777778,0.4,0.4222222222222222,0.3222235373724848,0.4737461920795254,0.4222222222222222,0.5333333333333333,0.6,0.06272999639487353,0.11412750386629941,0.06666666666666667,0.17777777777777778,0.2222222222222222,0.30920990120990116,0.36910052910052904,0.28888888888888886,0.4444444444444444,0.5555555555555556,0.24137429097159735,0.3838661592583162,0.28888888888888886,0.5333333333333333,0.5555555555555556,0.2990079380985466,0.27576719576719577,0.0,0.6,0.7333333333333333
smartshark_commons-lang,143.0,16,0.5775537076925222,0.7270295361204452,0.6083916083916084,0.8881118881118881,0.916083916083916,0.5081079424914776,0.5281440781440783,0.44755244755244755,0.6363636363636364,0.6713286713286714,0.5926518468587836,0.7345820845820845,0.6153846153846154,0.8601398601398601,0.9300699300699301,0.15747193440821575,0.21097890291920335,0.13986013986013987,0.3006993006993007,0.32867132867132864,0.5873696351856836,0.7195812985405747,0.6363636363636364,0.8181818181818182,0.8811188811188811,0.39327576698517885,0.47246895839577585,0.3916083916083916,0.5944055944055944,0.6433566433566433,0.832635604735171,0.7957237207237206,0.0,1.6853146853146854,1.7272727272727273
smartshark_commons-math,204.0,13,0.36666312392733,0.5023790749303185,0.43137254901960786,0.6029411764705882,0.6274509803921569,0.34436549738555566,0.3532656944917578,0.28431372549019607,0.44607843137254904,0.46568627450980393,0.3826924085980254,0.5422452740763664,0.49019607843137253,0.6029411764705882,0.6274509803921569,0.1449494902555779,0.16021125515470724,0.10294117647058823,0.22058823529411764,0.27450980392156865,0.3738493256205305,0.5198814753728633,0.44607843137254904,0.6127450980392157,0.6421568627450981,0.21701544592314387,0.2673175408326009,0.20098039215686275,0.36764705882352944,0.4019607843137255,0.4257976119740826,0.4236404662875252,0.0,0.9705882352941176,1.0049019607843137
smartshark_commons-net,117.0,15,0.7576962777980908,0.8305337241160995,0.7521367521367521,0.9316239316239316,0.9658119658119658,0.6474725643565448,0.626864216405377,0.5555555555555556,0.717948717948718,0.7264957264957265,0.7776402356411,0.8471321735253624,0.7692307692307693,0.9401709401709402,0.9658119658119658,0.2013407158144671,0.23016827613633817,0.1282051282051282,0.3076923076923077,0.39316239316239315,0.7714119559848014,0.83158662325329,0.7435897435897436,0.9401709401709402,0.9914529914529915,0.5747355846721368,0.6110003473103787,0.5042735042735043,0.7692307692307693,0.8205128205128205,0.570367657034324,0.5633156966490303,0.0,1.2307692307692308,1.3247863247863247
smartshark_commons-scxml,17.0,5,0.3983279765868623,0.5255602240896359,0.35294117647058826,0.8235294117647058,1.0,0.5470923976516336,0.47415724910653917,0.29411764705882354,0.7058823529411765,0.8823529411764706,0.5002256451941274,0.653921568627451,0.5294117647058824,0.8235294117647058,1.0,0.2352040176753518,0.36659226349614527,0.29411764705882354,0.4117647058823529,0.5294117647058824,0.5959525904378845,0.7436974789915967,0.5882352941176471,0.8823529411764706,1.0,0.260388416971767,0.37817460317460316,0.23529411764705882,0.47058823529411764,0.8235294117647058,0.4511459129106188,0.4531746031746031,0.0,1.0588235294117647,1.1764705882352942
smartshark_commons-validator,45.0,7,0.6345929132595798,0.7453968253968254,0.6222222222222222,0.9333333333333333,0.9777777777777777,0.6901798941798941,0.6752116402116403,0.5777777777777777,0.8222222222222222,0.8666666666666667,0.6168227642149426,0.6934014328751171,0.5333333333333333,0.9111111111111111,0.9555555555555556,0.3971300050188841,0.4028922228922228,0.17777777777777778,0.6444444444444445,0.7777777777777778,0.6489702643035974,0.7293121693121692,0.5777777777777777,0.9333333333333333,0.9777777777777777,0.4558820528750141,0.49476190476190474,0.35555555555555557,0.6888888888888889,0.7777777777777778,0.5374594356261022,0.5162962962962964,0.0,1.1777777777777778,1.2
